Date	Close	Change	Change (%)	Open	High	Low	Volume
Sep 30 2022	48.20	0.23	0.48%	48.50	49.26	48.11	41,770,369
Sep 29 2022	47.97	-1.31	-2.66%	48.69	48.95	47.79	5,858,520
Sep 28 2022	49.28	0.85	1.76%	48.93	49.46	47.80	9,688,198
Sep 27 2022	48.43	-0.87	-1.76%	49.71	50.60	48.23	5,448,917
Sep 26 2022	49.30	-2.13	-4.14%	51.04	51.04	48.76	3,426,207
Sep 23 2022	51.43	0.01	0.02%	51.02	51.83	50.88	3,354,510
Sep 22 2022	51.42	-0.02	-0.04%	51.32	52.06	50.965	3,188,994
Sep 21 2022	51.44	-1.14	-2.17%	52.69	53.17	51.43	2,178,028
Sep 20 2022	52.58	-0.89	-1.66%	52.86	53.13	52.12	1,939,814
Sep 19 2022	53.47	-0.42	-0.78%	53.30	53.49	52.29	1,729,018
Sep 16 2022	53.89	-1.18	-2.14%	55.23	55.23	53.05	5,584,903
Sep 15 2022	55.07	-2.37	-4.13%	57.43	57.43	55.025	4,516,329
Sep 14 2022	57.44	-1.73	-2.92%	58.21	58.58	56.93	2,663,449
Sep 13 2022	59.17	-2.22	-3.62%	60.27	60.39	59.005	2,025,042
Sep 12 2022	61.39	0.16	0.26%	61.39	61.75	61.10	2,195,927
Sep 09 2022	61.23	0.77	1.27%	60.51	61.43	60.37	2,880,836
Sep 08 2022	60.46	0.61	1.02%	59.29	60.535	59.15	2,544,876
Sep 07 2022	59.85	1.29	2.2%	58.40	60.00	58.40	1,523,688
Sep 06 2022	58.56	0.85	1.47%	57.70	58.72	57.62	2,038,855
Sep 05 2022	57.71	0.00	+0.00%	59.44	59.77	57.49	0
Sep 02 2022	57.71	-1.07	-1.82%	59.44	59.77	57.49	1,260,740
Sep 01 2022	58.78	-0.07	-0.12%	58.46	58.85	57.50	1,472,564
Aug 31 2022	58.85	-0.56	-0.94%	59.78	60.519	58.83	2,151,742
Aug 30 2022	59.41	-0.76	-1.26%	60.29	60.46	59.21	1,141,874
Aug 29 2022	60.17	-0.57	-0.94%	60.55	60.62	59.965	1,816,879
Aug 26 2022	60.74	-1.97	-3.14%	62.83	62.83	60.64	1,391,172
Aug 25 2022	62.71	0.76	1.23%	62.22	62.73	62.02	1,254,542
Aug 24 2022	61.95	1.22	2.01%	61.09	62.23	61.03	1,928,412
Aug 23 2022	60.73	-1.07	-1.73%	61.73	61.82	60.525	1,915,393
Aug 22 2022	61.80	-1.69	-2.66%	63.01	63.21	61.73	2,018,739
Aug 19 2022	63.49	-1.12	-1.73%	64.33	64.71	63.15	4,681,802
Aug 18 2022	64.61	-0.27	-0.42%	65.16	65.31	64.50	1,630,565
Aug 17 2022	64.88	0.11	0.17%	64.54	65.20	64.04	1,527,713
Aug 16 2022	64.77	-0.58	-0.89%	65.37	65.66	64.70	1,805,898
Aug 15 2022	65.35	0.49	0.76%	64.95	65.44	64.56	1,310,318
Aug 12 2022	64.86	1.47	2.32%	63.68	64.95	63.68	1,736,452
Aug 11 2022	63.39	-0.10	-0.16%	63.53	64.14	63.09	1,145,511
Aug 10 2022	63.49	0.59	0.94%	63.28	64.00	62.85	1,834,317
Aug 09 2022	62.90	0.86	1.39%	62.46	62.97	61.85	5,809,508
Aug 08 2022	62.04	-0.08	-0.13%	62.72	63.26	61.52	1,990,933
Aug 05 2022	62.12	0.37	0.6%	61.20	62.17	60.761	963,116
Aug 04 2022	61.75	0.06	0.1%	61.61	61.91	60.84	1,093,832
Aug 03 2022	61.69	0.59	0.97%	61.38	62.745	61.38	3,394,265
Aug 02 2022	61.10	-0.71	-1.15%	61.85	62.18	61.08	2,196,774
Aug 01 2022	61.81	-0.75	-1.2%	62.25	62.56	61.72	2,847,152
Jul 29 2022	62.56	0.11	0.18%	62.09	62.90	62.09	1,404,168
Jul 28 2022	62.45	2.39	3.98%	60.83	62.66	60.24	1,901,888
Jul 27 2022	60.06	-0.09	-0.15%	60.18	60.37	59.10	1,380,603
Jul 26 2022	60.15	0.12	0.2%	60.21	60.63	59.73	1,154,585
Jul 25 2022	60.03	0.34	0.57%	59.55	60.42	59.25	875,178
