<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20050225,000000,19.9495,20.0927,19.867,20.0729,1057535.1741529,0
DRE.US,D,20050228,000000,20.1385,20.2032,19.8491,20.1892,1774218.7752784,0
DRE.US,D,20050301,000000,20.1823,20.413,20.0729,20.3394,651584.7460159,0
DRE.US,D,20050302,000000,20.1823,20.3862,20.0729,20.1972,710297.37830454,0
DRE.US,D,20050303,000000,20.2539,20.3096,20.04,20.2032,988334.3371306,0
DRE.US,D,20050304,000000,20.3295,20.5742,20.225,20.5742,535990.2924835,0
DRE.US,D,20050307,000000,20.4876,21.1162,20.4478,20.9531,720338.18550113,0
DRE.US,D,20050308,000000,20.9591,20.9839,20.6776,20.7661,542990.80720362,0
DRE.US,D,20050309,000000,20.7661,20.7661,20.0191,20.1385,1199293.8378068,0
DRE.US,D,20050310,000000,20.1077,20.3931,20.0649,20.3046,610367.8708951,0
DRE.US,D,20050311,000000,20.2111,20.2191,19.9495,20.04,504353.75698183,0
DRE.US,D,20050314,000000,20.04,20.4538,20.0032,20.4478,382828.52126731,0
DRE.US,D,20050315,000000,20.5791,20.7999,20.1455,20.2917,707707.49952829,0
DRE.US,D,20050316,000000,20.2917,20.3474,19.7585,19.7585,1074116.0284921,0
DRE.US,D,20050317,000000,19.9167,20.0927,19.8739,20.0599,492184.54397416,0
DRE.US,D,20050318,000000,20.0778,20.1266,19.7655,19.7814,496139.7392792,0
DRE.US,D,20050321,000000,19.7585,19.7715,19.5059,19.6233,546942.98634548,0
DRE.US,D,20050322,000000,19.6044,19.867,19.2702,19.3368,980271.12758653,0
DRE.US,D,20050323,000000,19.3368,19.4413,18.8176,19.2304,875927.96807005,0
DRE.US,D,20050324,000000,19.297,19.6442,19.2135,19.2135,673331.28247954,0
DRE.US,D,20050328,000000,19.5676,19.5676,19.0941,19.1727,1238227.4774071,0
DRE.US,D,20050329,000000,19.2354,19.2423,18.7589,18.9091,1620752.3715819,0
DRE.US,D,20050330,000000,19.0872,19.297,18.9867,19.118,1750946.0602501,0
DRE.US,D,20050331,000000,19.4045,19.4989,19.0205,19.0205,1167958.9186223,0
DRE.US,D,20050401,000000,19.1508,19.4045,18.932,19.0255,994719.55456382,0
DRE.US,D,20050404,000000,19.0076,19.0205,18.6585,18.7709,853269.54494102,0
DRE.US,D,20050405,000000,18.7957,19.0205,18.7042,18.739,1080808.8945688,0
DRE.US,D,20050406,000000,18.7649,18.9479,18.7589,18.8614,1539833.7406399,0
DRE.US,D,20050407,000000,18.938,19.0872,18.8425,18.9479,1435951.0487009,0
DRE.US,D,20050408,000000,19.0464,19.0543,18.7271,18.7589,646115.43679898,0
DRE.US,D,20050411,000000,18.9012,18.9012,18.6843,18.8614,817982.4466146,0
DRE.US,D,20050412,000000,18.8614,19.1846,18.6784,19.1797,887488.92150487,0
DRE.US,D,20050413,000000,19.1926,19.3448,19.118,19.2553,803377.17915241,0
DRE.US,D,20050414,000000,19.2553,19.2881,19.0155,19.0872,992137.71888936,0
DRE.US,D,20050415,000000,19.118,19.1797,18.9947,19.0742,948939.22456514,0
DRE.US,D,20050418,000000,19.0792,19.1449,18.9161,19.118,477738.12777232,0
DRE.US,D,20050419,000000,19.118,19.2553,19.0205,19.126,1249175.1443305,0
